,CountryName,Date,ConfirmedCases,ConfirmedDeaths,Days_since_ConfirmedCases,Days_since_ConfirmedDeaths,Days_since_S1_School closing_1.0,Days_since_S1_School closing_2.0,Days_since_S2_Workplace closing_1.0,Days_since_S2_Workplace closing_2.0,Days_since_S3_Cancel public events_1.0,Days_since_S3_Cancel public events_2.0,Days_since_S4_Close public transport_1.0,Days_since_S4_Close public transport_2.0,Days_since_S5_Public information campaigns_1.0,Days_since_S6_Restrictions on internal movement_1.0,Days_since_S6_Restrictions on internal movement_2.0,Days_since_S7_International travel controls_1.0,Days_since_S7_International travel controls_2.0,Days_since_S7_International travel controls_3.0,%ConfirmedCases,%ConfirmedCases_smooth,%ConfirmedDeaths,%ConfirmedDeaths_smooth,Days,Days_since_100Cases
39,Hong Kong,2020-01-01,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Hong Kong,2020-01-02,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
239,Hong Kong,2020-01-03,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
339,Hong Kong,2020-01-04,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,3,0
439,Hong Kong,2020-01-05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,4,0
539,Hong Kong,2020-01-06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,5,0
639,Hong Kong,2020-01-07,0.0,0.0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,6,0
739,Hong Kong,2020-01-08,0.0,0.0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,7,0
839,Hong Kong,2020-01-09,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,8,0
939,Hong Kong,2020-01-10,0.0,0.0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,0,0,0,0,0,9,0
1039,Hong Kong,2020-01-11,0.0,0.0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,0,0,0,0,10,0
1139,Hong Kong,2020-01-12,0.0,0.0,0,0,0,0,0,0,0,0,0,0,11,0,0,9,0,0,0,0,0,0,11,0
1239,Hong Kong,2020-01-13,0.0,0.0,0,0,0,0,0,0,0,0,0,0,12,0,0,10,0,0,0,0,0,0,12,0
1339,Hong Kong,2020-01-14,0.0,0.0,0,0,0,0,0,0,0,0,0,0,13,0,0,11,0,0,0,0,0,0,13,0
1439,Hong Kong,2020-01-15,0.0,0.0,0,0,0,0,0,0,0,0,0,0,14,0,0,12,0,0,0,0,0,0,14,0
1539,Hong Kong,2020-01-16,0.0,0.0,0,0,0,0,0,0,0,0,0,0,15,0,0,13,0,0,0,0,0,0,15,0
1639,Hong Kong,2020-01-17,0.0,0.0,0,0,1,0,0,0,0,0,0,0,16,0,0,14,0,0,0,0,0,0,16,0
1739,Hong Kong,2020-01-18,0.0,0.0,0,0,2,0,0,0,0,0,0,0,17,0,0,15,0,0,0,0,0,0,17,0
1839,Hong Kong,2020-01-19,0.0,0.0,0,0,3,0,0,0,0,0,0,0,18,0,0,16,0,0,0,0,0,0,18,0
1939,Hong Kong,2020-01-20,0.0,0.0,0,0,4,0,0,0,0,0,0,0,19,0,0,17,0,0,0,0,0,0,19,0
2039,Hong Kong,2020-01-21,0.0,0.0,0,0,5,0,0,0,0,0,0,0,20,0,0,18,0,0,0,0,0,0,20,0
2138,Hong Kong,2020-01-22,0.0,0.0,0,0,6,0,0,0,0,0,0,0,21,0,0,19,0,0,0,0,0,0,21,0
2237,Hong Kong,2020-01-23,0.0,0.0,0,0,7,0,0,0,0,0,0,0,22,0,0,20,0,0,0,0,0,0,22,0
2336,Hong Kong,2020-01-24,0.0,0.0,0,0,8,0,0,0,0,0,0,0,23,0,0,21,0,0,0,0,0,0,23,0
2435,Hong Kong,2020-01-25,0.0,0.0,0,0,9,0,0,0,0,0,0,0,24,0,0,22,0,0,0,0,0,0,24,0
